번호,본번호출현,기대대비,보너스출현,최근미출현(회),사람선호도,선호도95%CI하한,선호도95%CI상한
1,170,1.027,33,7,1.044,0.993,1.098
2,156,0.943,36,3,1.007,0.954,1.064
3,172,1.039,32,11,1.006,0.956,1.057
4,162,0.979,35,10,1.049,0.996,1.105
5,153,0.925,25,28,1.089,1.032,1.149
6,166,1.003,34,6,0.989,0.939,1.041
7,171,1.033,32,0,1.050,1.000,1.103
8,158,0.955,25,11,1.066,1.011,1.123
9,136,0.822,27,11,1.060,1.003,1.119
10,162,0.979,29,4,1.050,0.997,1.106
11,168,1.015,26,1,1.018,0.967,1.071
12,180,1.088,27,5,1.088,1.037,1.140
13,183,1.106,28,0,1.034,0.986,1.085
14,172,1.039,23,10,0.952,0.903,1.004
15,170,1.027,26,6,0.950,0.901,1.001
16,169,1.021,30,0,1.002,0.952,1.054
17,171,1.033,33,15,1.059,1.006,1.113
18,178,1.076,19,3,1.039,0.989,1.091
19,171,1.033,22,1,1.013,0.962,1.065
20,172,1.039,30,1,1.032,0.981,1.086
21,167,1.009,25,5,0.950,0.901,1.002
22,146,0.882,21,2,0.949,0.897,1.003
23,149,0.900,21,0,0.934,0.883,0.989
24,167,1.009,33,0,0.982,0.932,1.035
25,153,0.925,23,8,0.980,0.926,1.037
26,165,0.997,32,15,0.961,0.911,1.014
27,181,1.094,33,17,1.005,0.956,1.057
28,157,0.949,26,11,0.988,0.937,1.041
29,156,0.943,18,5,0.963,0.912,1.017
30,158,0.955,32,13,0.932,0.883,0.984
31,170,1.027,32,1,0.970,0.921,1.022
32,146,0.882,34,2,1.055,1.000,1.113
33,175,1.058,32,2,1.049,0.999,1.101
34,186,1.124,24,4,1.033,0.984,1.084
35,163,0.985,30,7,0.962,0.912,1.014
36,165,0.997,25,2,0.954,0.904,1.006
37,174,1.052,26,4,0.960,0.911,1.011
38,172,1.039,30,3,0.974,0.927,1.025
39,168,1.015,25,6,1.067,1.014,1.122
40,174,1.052,22,4,0.953,0.903,1.006
41,150,0.907,19,14,0.913,0.863,0.967
42,158,0.955,25,3,0.936,0.885,0.989
43,166,1.003,35,0,0.941,0.891,0.995
44,165,0.997,24,1,0.991,0.941,1.044
45,175,1.058,22,17,0.992,0.943,1.043
